,estacion,sentido,hora,categoria,cantidad
20936,ANDES,BOG-CHI,4,V,21
20937,ANDES,BOG-CHI,5,V,26
20938,ANDES,BOG-CHI,6,V,21
20939,ANDES,BOG-CHI,7,V,24
20940,ANDES,BOG-CHI,8,V,18
20941,ANDES,BOG-CHI,9,V,22
20942,ANDES,BOG-CHI,10,V,16
20943,ANDES,BOG-CHI,11,V,29
20944,ANDES,BOG-CHI,12,V,32
20945,ANDES,BOG-CHI,13,V,23
20946,ANDES,BOG-CHI,14,V,25
20947,ANDES,BOG-CHI,15,V,27
20948,ANDES,BOG-CHI,16,V,20
20949,ANDES,BOG-CHI,17,V,14
20950,ANDES,BOG-CHI,18,V,17
20951,ANDES,BOG-CHI,19,V,8
20952,ANDES,BOG-CHI,20,V,13
20953,ANDES,BOG-CHI,21,V,10
20954,ANDES,BOG-CHI,22,V,4
20955,ANDES,BOG-CHI,23,V,5
20956,ANDES,BOG-CHI,0,VI,8
20957,ANDES,BOG-CHI,1,VI,13
20958,ANDES,BOG-CHI,2,VI,6
20959,ANDES,BOG-CHI,3,VI,13
20960,ANDES,BOG-CHI,4,VI,22
20961,ANDES,BOG-CHI,5,VI,23
20962,ANDES,BOG-CHI,6,VI,7
20963,ANDES,BOG-CHI,7,VI,7
20964,ANDES,BOG-CHI,8,VI,14
20965,ANDES,BOG-CHI,9,VI,9
20966,ANDES,BOG-CHI,10,VI,26
20967,ANDES,BOG-CHI,11,VI,22
20968,ANDES,BOG-CHI,12,VI,25
20969,ANDES,BOG-CHI,13,VI,23
20970,ANDES,BOG-CHI,14,VI,23
20971,ANDES,BOG-CHI,15,VI,23
20972,ANDES,BOG-CHI,16,VI,35
20973,ANDES,BOG-CHI,17,VI,20
20974,ANDES,BOG-CHI,18,VI,20
20975,ANDES,BOG-CHI,19,VI,27
20976,ANDES,BOG-CHI,20,VI,28
20977,ANDES,BOG-CHI,21,VI,20
20978,ANDES,BOG-CHI,22,VI,17
20979,ANDES,BOG-CHI,23,VI,14
20980,ANDES,BOG-CHI,0,VII,18
20981,ANDES,BOG-CHI,1,VII,23
20982,ANDES,BOG-CHI,2,VII,25
20983,ANDES,BOG-CHI,3,VII,25
20984,ANDES,BOG-CHI,4,VII,46
20985,ANDES,BOG-CHI,5,VII,40
20986,ANDES,BOG-CHI,6,VII,18
20987,ANDES,BOG-CHI,7,VII,13
20988,ANDES,BOG-CHI,8,VII,27
20989,ANDES,BOG-CHI,9,VII,9
20990,ANDES,BOG-CHI,10,VII,27
20991,ANDES,BOG-CHI,11,VII,22
20992,ANDES,BOG-CHI,12,VII,26
20993,ANDES,BOG-CHI,13,VII,36
20994,ANDES,BOG-CHI,14,VII,26
20995,ANDES,BOG-CHI,15,VII,35
20996,ANDES,BOG-CHI,16,VII,38
20997,ANDES,BOG-CHI,17,VII,50
20998,ANDES,BOG-CHI,18,VII,33
20999,ANDES,BOG-CHI,19,VII,29
21000,ANDES,BOG-CHI,20,VII,20
21001,ANDES,BOG-CHI,21,VII,35
21002,ANDES,BOG-CHI,22,VII,28
21003,ANDES,BOG-CHI,23,VII,26
21004,FUSCA,BOG-CHI,0,I,1
21005,FUSCA,BOG-CHI,1,I,1
21006,FUSCA,BOG-CHI,2,I,3
21007,FUSCA,BOG-CHI,3,I,5
21008,FUSCA,BOG-CHI,4,I,12
21009,FUSCA,BOG-CHI,5,I,77
21010,FUSCA,BOG-CHI,6,I,222
21011,FUSCA,BOG-CHI,7,I,259
21012,FUSCA,BOG-CHI,8,I,290
21013,FUSCA,BOG-CHI,9,I,164
21014,FUSCA,BOG-CHI,10,I,181
21015,FUSCA,BOG-CHI,11,I,168
21016,FUSCA,BOG-CHI,12,I,158
21017,FUSCA,BOG-CHI,13,I,167
21018,FUSCA,BOG-CHI,14,I,253
21019,FUSCA,BOG-CHI,15,I,300
21020,FUSCA,BOG-CHI,16,I,245
21021,FUSCA,BOG-CHI,17,I,210
21022,FUSCA,BOG-CHI,18,I,173
21023,FUSCA,BOG-CHI,19,I,172
21024,FUSCA,BOG-CHI,20,I,101
21025,FUSCA,BOG-CHI,21,I,45
21026,FUSCA,BOG-CHI,22,I,7
21027,FUSCA,BOG-CHI,23,I,1
21028,FUSCA,BOG-CHI,3,II,1
21029,FUSCA,BOG-CHI,5,II,6
21030,FUSCA,BOG-CHI,6,II,13
21031,FUSCA,BOG-CHI,7,II,9
21032,FUSCA,BOG-CHI,8,II,2
21033,FUSCA,BOG-CHI,9,II,2
21034,FUSCA,BOG-CHI,10,II,3
21035,FUSCA,BOG-CHI,11,II,1
21036,FUSCA,BOG-CHI,12,II,2
21037,FUSCA,BOG-CHI,13,II,2
21038,FUSCA,BOG-CHI,14,II,7
21039,FUSCA,BOG-CHI,15,II,18
21040,FUSCA,BOG-CHI,16,II,9
21041,FUSCA,BOG-CHI,17,II,5
21042,FUSCA,BOG-CHI,18,II,1
21043,FUSCA,BOG-CHI,19,II,1
21044,FUSCA,BOG-CHI,21,II,2
21045,FUSCA,BOG-CHI,3,III,1
21046,FUSCA,BOG-CHI,5,III,3
21047,FUSCA,BOG-CHI,6,III,5
21048,FUSCA,BOG-CHI,7,III,2
21049,FUSCA,BOG-CHI,8,III,9
21050,FUSCA,BOG-CHI,9,III,6
21051,FUSCA,BOG-CHI,10,III,8
21052,FUSCA,BOG-CHI,11,III,6
21053,FUSCA,BOG-CHI,12,III,4
21054,FUSCA,BOG-CHI,13,III,5
21055,FUSCA,BOG-CHI,14,III,4
21056,FUSCA,BOG-CHI,15,III,1
21057,FUSCA,BOG-CHI,16,III,8
21058,FUSCA,BOG-CHI,17,III,4
21059,FUSCA,BOG-CHI,18,III,1
21060,FUSCA,BOG-CHI,19,III,1
21061,FUSCA,BOG-CHI,20,III,2
21062,FUSCA,BOG-CHI,21,III,1
21063,FUSCA,BOG-CHI,1,IV,2
21064,FUSCA,BOG-CHI,3,IV,2
21065,FUSCA,BOG-CHI,4,IV,3
21066,FUSCA,BOG-CHI,5,IV,2
21067,FUSCA,BOG-CHI,6,IV,7
21068,FUSCA,BOG-CHI,7,IV,3
21069,FUSCA,BOG-CHI,8,IV,3
21070,FUSCA,BOG-CHI,9,IV,4
21071,FUSCA,BOG-CHI,10,IV,5
21072,FUSCA,BOG-CHI,11,IV,4
