,estacion,sentido,hora,categoria,valorTabulado,fecha
136,ANDES,BOG-CHI,20,VI,90000,2021-08-01
137,ANDES,BOG-CHI,21,VI,45000,2021-08-01
138,ANDES,BOG-CHI,22,VI,225000,2021-08-01
139,ANDES,BOG-CHI,23,VI,360000,2021-08-01
140,ANDES,BOG-CHI,0,VII,548900,2021-08-01
141,ANDES,BOG-CHI,1,VII,349300,2021-08-01
142,ANDES,BOG-CHI,2,VII,199600,2021-08-01
143,ANDES,BOG-CHI,3,VII,349300,2021-08-01
144,ANDES,BOG-CHI,4,VII,499000,2021-08-01
145,ANDES,BOG-CHI,5,VII,998000,2021-08-01
146,ANDES,BOG-CHI,6,VII,948100,2021-08-01
147,ANDES,BOG-CHI,7,VII,648700,2021-08-01
148,ANDES,BOG-CHI,8,VII,349300,2021-08-01
149,ANDES,BOG-CHI,9,VII,648700,2021-08-01
150,ANDES,BOG-CHI,10,VII,748500,2021-08-01
151,ANDES,BOG-CHI,11,VII,199600,2021-08-01
152,ANDES,BOG-CHI,12,VII,349300,2021-08-01
153,ANDES,BOG-CHI,13,VII,449100,2021-08-01
154,ANDES,BOG-CHI,14,VII,499000,2021-08-01
155,ANDES,BOG-CHI,15,VII,499000,2021-08-01
156,ANDES,BOG-CHI,16,VII,249500,2021-08-01
157,ANDES,BOG-CHI,17,VII,99800,2021-08-01
158,ANDES,BOG-CHI,18,VII,99800,2021-08-01
159,ANDES,BOG-CHI,19,VII,249500,2021-08-01
160,ANDES,BOG-CHI,20,VII,399200,2021-08-01
161,ANDES,BOG-CHI,21,VII,598800,2021-08-01
162,ANDES,BOG-CHI,22,VII,299400,2021-08-01
163,ANDES,BOG-CHI,23,VII,399200,2021-08-01
164,FUSCA,BOG-CHI,0,I,145600,2021-08-01
165,FUSCA,BOG-CHI,1,I,72800,2021-08-01
166,FUSCA,BOG-CHI,2,I,18200,2021-08-01
167,FUSCA,BOG-CHI,3,I,36400,2021-08-01
168,FUSCA,BOG-CHI,4,I,100100,2021-08-01
169,FUSCA,BOG-CHI,5,I,218400,2021-08-01
170,FUSCA,BOG-CHI,6,I,737100,2021-08-01
171,FUSCA,BOG-CHI,7,I,982800,2021-08-01
172,FUSCA,BOG-CHI,8,I,1255800,2021-08-01
173,FUSCA,BOG-CHI,9,I,1374100,2021-08-01
174,FUSCA,BOG-CHI,10,I,1883700,2021-08-01
175,FUSCA,BOG-CHI,11,I,2375100,2021-08-01
176,FUSCA,BOG-CHI,12,I,3867500,2021-08-01
177,FUSCA,BOG-CHI,13,I,4095000,2021-08-01
178,FUSCA,BOG-CHI,14,I,3312400,2021-08-01
179,FUSCA,BOG-CHI,15,I,1701700,2021-08-01
180,FUSCA,BOG-CHI,16,I,673400,2021-08-01
181,FUSCA,BOG-CHI,21,I,172900,2021-08-01
182,FUSCA,BOG-CHI,22,I,154700,2021-08-01
183,FUSCA,BOG-CHI,23,I,54600,2021-08-01
184,FUSCA,BOG-CHI,0,II,15800,2021-08-01
185,FUSCA,BOG-CHI,4,II,15800,2021-08-01
186,FUSCA,BOG-CHI,8,II,15800,2021-08-01
187,FUSCA,BOG-CHI,21,II,15800,2021-08-01
188,FUSCA,BOG-CHI,6,III,10200,2021-08-01
189,FUSCA,BOG-CHI,7,III,10200,2021-08-01
190,FUSCA,BOG-CHI,8,III,10200,2021-08-01
191,FUSCA,BOG-CHI,9,III,10200,2021-08-01
192,FUSCA,BOG-CHI,12,III,10200,2021-08-01
193,FUSCA,BOG-CHI,13,III,10200,2021-08-01
194,FUSCA,BOG-CHI,15,III,20400,2021-08-01
195,FUSCA,BOG-CHI,16,III,10200,2021-08-01
196,FUSCA,BOG-CHI,23,III,10200,2021-08-01
197,FUSCA,BOG-CHI,8,IV,23000,2021-08-01
198,FUSCA,BOG-CHI,7,V,35000,2021-08-01
199,UNISABANA,BOG-CHI,1,V,35000,2021-08-01
200,UNISABANA,BOG-CHI,4,V,70000,2021-08-01
201,UNISABANA,BOG-CHI,10,V,70000,2021-08-01
202,UNISABANA,BOG-CHI,13,V,35000,2021-08-01
203,UNISABANA,BOG-CHI,15,V,35000,2021-08-01
204,UNISABANA,BOG-CHI,22,V,35000,2021-08-01
205,UNISABANA,BOG-CHI,2,VI,45000,2021-08-01
206,UNISABANA,BOG-CHI,4,VI,90000,2021-08-01
207,UNISABANA,BOG-CHI,7,VI,45000,2021-08-01
208,UNISABANA,BOG-CHI,8,VI,45000,2021-08-01
